date,dem,state,agency
2014-01-01,61.3776,US,nyt
2014-01-02,60.7408,US,nyt
2014-01-03,60.876,US,nyt
2014-01-04,60.868,US,nyt
2014-01-05,59.7932,US,nyt
2014-01-06,59.8488,US,nyt
2014-01-07,59.6156,US,nyt
2014-01-08,59.0604,US,nyt
2014-01-09,58.4452,US,nyt
2014-01-10,59.1344,US,nyt
2014-01-11,59.0636,US,nyt
2014-01-12,57.7228,US,nyt
2014-01-13,57.894,US,nyt
2014-01-14,58.3584,US,nyt
2014-01-15,57.6212,US,nyt
2014-01-16,57.426,US,nyt
2014-01-17,57.2012,US,nyt
2014-01-18,56.5212,US,nyt
2014-01-19,56.5876,US,nyt
2014-01-20,51.0364,US,nyt
2014-01-21,52.4124,US,nyt
2014-01-22,51.04,US,nyt
2014-01-23,50.248,US,nyt
2014-01-24,50.1188,US,nyt
2014-01-25,49.2936,US,nyt
2014-01-26,48.0896,US,nyt
2014-01-27,47.7472,US,nyt
2014-01-28,46.854,US,nyt
2014-01-29,45.3044,US,nyt
2014-01-30,45.6176,US,nyt
2014-01-31,48.494,US,nyt
2014-02-01,50.4824,US,nyt
2014-02-02,50.3284,US,nyt
2014-02-03,50.2972,US,nyt
2014-02-04,49.9324,US,nyt
2014-02-05,49.9736,US,nyt
2014-02-06,50.1496,US,nyt
2014-02-07,50.0424,US,nyt
2014-02-08,50.0312,US,nyt
2014-02-09,49.6804,US,nyt
2014-02-10,49.6464,US,nyt
2014-02-11,49.8084,US,nyt
2014-02-12,49.8936,US,nyt
2014-02-13,49.4988,US,nyt
2014-02-14,49.6896,US,nyt
2014-02-15,49.6668,US,nyt
2014-02-16,49.6988,US,nyt
2014-02-17,50.078,US,nyt
2014-02-18,50.5936,US,nyt
2014-02-19,50.426,US,nyt
2014-02-20,50.6412,US,nyt
2014-02-21,50.4988,US,nyt
2014-02-22,50.344,US,nyt
2014-02-23,51.3836,US,nyt
2014-02-24,49.5236,US,nyt
2014-02-25,49.2476,US,nyt
2014-02-26,48.4644,US,nyt
2014-02-27,48.9632,US,nyt
2014-02-28,48.9356,US,nyt
2014-03-01,48.6504,US,nyt
2014-03-02,46.7256,US,nyt
2014-03-03,46.504,US,nyt
2014-03-04,46.7956,US,nyt
2014-03-05,46.7936,US,nyt
2014-03-06,47.226,US,nyt
2014-03-07,47.5592,US,nyt
2014-03-08,47.6716,US,nyt
2014-03-09,47.4104,US,nyt
2014-03-10,48.5604,US,nyt
2014-03-11,48.6396,US,nyt
2014-03-12,48.842,US,nyt
2014-03-13,49.0464,US,nyt
2014-03-14,48.8432,US,nyt
2014-03-15,48.4696,US,nyt
2014-03-16,48.9984,US,nyt
2014-03-17,48.8296,US,nyt
2014-03-18,48.9168,US,nyt
2014-03-19,48.3024,US,nyt
2014-03-20,47.7808,US,nyt
2014-03-21,47.738,US,nyt
2014-03-22,47.598,US,nyt
2014-03-23,47.6824,US,nyt
2014-03-24,47.7716,US,nyt
2014-03-25,48.0932,US,nyt
2014-03-26,47.954,US,nyt
2014-03-27,47.9104,US,nyt
2014-03-28,47.7112,US,nyt
2014-03-29,47.1764,US,nyt
2014-03-30,47.1952,US,nyt
2014-03-31,46.0152,US,nyt
2014-04-01,45.942,US,nyt
2014-04-02,46.4868,US,nyt
2014-04-03,47.062,US,nyt
2014-04-04,47.1004,US,nyt
2014-04-05,47.1956,US,nyt
2014-04-06,47.1604,US,nyt
2014-04-07,47.5836,US,nyt
2014-04-08,50.1152,US,nyt
2014-04-09,48.8208,US,nyt
2014-04-10,50.1456,US,nyt
2014-04-11,49.8028,US,nyt
2014-04-12,50.2776,US,nyt
